Date,Open,High,Low,Close*,Adj Close**,Volume,SMA_200,EMA_200,RSI,Anamoly
2018-12-21,22871.74,23254.59,22396.34,22445.37,22445.37,900510000,,24981.174394726237,14.506397383670858,-1
2020-02-28,25270.83,25494.24,24681.01,25409.36,25409.36,915990000,27236.657000000003,27428.437830481584,11.71798715070247,-1
2020-03-12,22184.71,22837.95,21154.46,21200.62,21200.62,908260000,27208.098,27219.078370372456,24.13237199129665,-1
2020-03-16,20917.53,21768.28,20116.46,20188.52,20188.52,770130000,27173.487250000002,27109.38799398826,30.992546853783992,-1
2020-03-17,20487.05,21379.35,19882.26,21237.38,21237.38,793060000,27155.59895,27050.960053749575,34.99186389484615,-1
2020-03-18,20188.69,20489.33,18917.46,19898.92,19898.92,871360000,27130.994649999997,26979.795476100328,34.723091518984575,-1
2020-03-19,19830.01,20442.63,19177.13,20087.19,20087.19,780300000,27104.7697,26911.212337034653,36.02043126721451,-1
2020-03-20,20253.15,20531.26,19094.27,19173.98,19173.98,872290000,27072.941749999998,26834.224950596497,29.81927420210799,-1
2020-03-23,19028.36,19121.01,18213.65,18591.93,18591.93,787970000,27037.2981,26752.212065515938,30.148740550606703,-1
2020-03-24,19722.19,20737.7,19649.25,20704.91,20704.91,799340000,27010.90295,26692.03990566006,33.533259929501384,-1
2020-03-25,21050.34,22019.93,20538.34,21200.55,21200.55,796320000,26986.5923,26637.39821505648,36.99355747968309,-1
2021-03-19,32858.36,32858.36,32505.07,32627.97,32627.97,811890000,28834.907600000002,29298.707792999827,66.3296482532242,-1
2021-12-17,35800.11,35800.11,35284.26,35365.44,35365.44,750480000,34606.3028,34171.512531549306,52.51951941402237,-1
